benchmark,n,time,cpu,iterations
exponential_lpdf,32,1114,3412,629040
exponential_lpdf,64,2098,6517,333738
exponential_lpdf,128,4054,12734,172764
exponential_lpdf,256,8100,25456,86322
exponential_lpdf,512,15925,50202,43988
exponential_lpdf,1024,31406,99615,22279
exponential_cdf,2,148,377,4736864
exponential_cdf,4,194,569,3607039
exponential_cdf,8,287,938,2440063
exponential_cdf,16,454,1665,1540718
exponential_cdf,32,773,3068,908760
exponential_cdf,64,1388,5799,503875
exponential_cdf,128,2645,11365,264036
exponential_cdf,256,5282,22732,132446
exponential_cdf,512,10301,44524,67981
exponential_cdf,1024,20178,88360,34700
exponential_lcdf,2,190,419,3688049
exponential_lcdf,4,297,671,2354278
exponential_lcdf,8,493,1143,1420218
exponential_lcdf,16,885,2092,791416
exponential_lcdf,32,1679,3974,417456
exponential_lcdf,64,3259,7697,214734
exponential_lcdf,128,6441,15190,108794
exponential_lcdf,256,12933,30310,54110
exponential_lcdf,512,25585,59816,27350
exponential_lcdf,1024,50564,118796,13850
exponential_lccdf,2,103,331,6791811
exponential_lccdf,4,116,493,5995771
exponential_lccdf,8,152,724,4644656
exponential_lccdf,16,215,1424,3249994
exponential_lccdf,32,325,2609,2156301
exponential_lccdf,64,519,4920,1349542
exponential_lccdf,128,894,9560,783547
exponential_lccdf,256,1690,18937,413833
exponential_lccdf,512,3316,37427,211096
exponential_lccdf,1024,6206,74147,112746
exponential_lpdf_data,2,144,369,4868705
exponential_lpdf_data,4,201,563,3488898
exponential_lpdf_data,8,329,957,2122589
exponential_lpdf_data,16,568,1733,1232574
exponential_lpdf_data,32,1052,3280,667084
exponential_lpdf_data,64,2000,6365,350102
exponential_lpdf_data,128,3913,11477,179051
exponential_lpdf_data,256,7764,24984,90316
exponential_lpdf_data,512,15414,46831,45448
exponential_lpdf_data,1024,30592,97933,22904
exponential_cdf_data,2,116,342,6065522
exponential_cdf_data,4,158,517,4427827
exponential_cdf_data,8,230,852,3036127
exponential_cdf_data,16,374,1425,1868839
exponential_cdf_data,32,661,2874,1052726
exponential_cdf_data,64,1199,5246,584775
exponential_cdf_data,128,2304,10922,303660
exponential_cdf_data,256,4596,21369,152406
exponential_cdf_data,512,8927,43301,78423
exponential_cdf_data,1024,17802,86054,39339
exponential_lcdf_data,2,159,387,4392723
exponential_lcdf_data,4,262,625,2672885
exponential_lcdf_data,8,449,1070,1558743
exponential_lcdf_data,16,821,1969,852119
exponential_lcdf_data,32,1577,3782,443962
exponential_lcdf_data,64,3070,7401,228138
exponential_lcdf_data,128,6059,14308,115637
exponential_lcdf_data,256,12197,28022,57532
exponential_lcdf_data,512,24141,56086,29017
exponential_lcdf_data,1024,47875,115771,14623
exponential_lccdf_data,2,79,303,8834024
exponential_lccdf_data,4,88,445,7944670
exponential_lccdf_data,8,113,671,6166934
exponential_lccdf_data,16,162,1311,4327910
exponential_lccdf_data,32,251,2455,2812182
exponential_lccdf_data,64,407,4630,1717189
exponential_lccdf_data,128,711,8832,982371
exponential_lccdf_data,256,1328,16809,527073
exponential_lccdf_data,512,2512,36359,278582
exponential_lccdf_data,1024,4977,63464,140881
frechet_lpdf,2,473,730,1476325
frechet_lpdf,4,732,1136,957531
frechet_lpdf,8,1252,1921,554089
frechet_lpdf,16,2342,3574,298286
frechet_lpdf,32,4409,6729,158794
frechet_lpdf,64,8439,12937,82877
frechet_lpdf,128,16592,25434,42095
frechet_lpdf,256,33053,50368,21181
frechet_lpdf,512,65376,100076,10672
frechet_lpdf,1024,129893,198812,5364
frechet_cdf,2,300,552,2327440
frechet_cdf,4,480,877,1457353
frechet_cdf,8,829,1490,846059
frechet_cdf,16,1562,2762,447924
frechet_cdf,32,3013,5290,232632
frechet_cdf,64,5855,10324,119541
frechet_cdf,128,11695,20529,59987
frechet_cdf,256,23296,40792,30054
frechet_cdf,512,46604,81258,15017
frechet_cdf,1024,92751,161567,7547
frechet_lcdf,2,262,518,2672614
frechet_lcdf,4,415,814,1683435
frechet_lcdf,8,698,1360,1003742
frechet_lcdf,16,1301,2504,539341
frechet_lcdf,32,2477,4761,282208
frechet_lcdf,64,4790,9257,146441
frechet_lcdf,128,9531,18334,73372
frechet_lcdf,256,18996,36312,36890
frechet_lcdf,512,37787,72329,18547
frechet_lcdf,1024,75316,143999,9262
frechet_lccdf,2,363,615,1967366
frechet_lccdf,4,601,997,1160389
frechet_lccdf,8,1059,1721,658516
frechet_lccdf,16,1997,3197,350426
frechet_lccdf,32,3881,6156,180274
frechet_lccdf,64,7618,12082,91874
frechet_lccdf,128,15243,24055,45912
frechet_lccdf,256,30448,47737,22958
frechet_lccdf,512,60478,95080,11591
frechet_lccdf,1024,120618,189195,5802
frechet_lpdf_data,2,447,698,1564628
frechet_lpdf_data,4,694,1085,1007539
frechet_lpdf_data,8,1205,1848,577735
frechet_lpdf_data,16,2260,3441,309621
frechet_lpdf_data,32,4290,6502,163139
frechet_lpdf_data,64,8308,12582,84261
frechet_lpdf_data,128,16239,24591,43146
frechet_lpdf_data,256,32353,49047,21664
frechet_lpdf_data,512,63901,96799,10975
frechet_lpdf_data,1024,126793,191779,5518
frechet_cdf_data,2,263,509,2659699
frechet_cdf_data,4,451,835,1554486
frechet_cdf_data,8,796,1432,878824
frechet_cdf_data,16,1493,2645,467638
frechet_cdf_data,32,2903,5079,242214
frechet_cdf_data,64,5665,9901,123550
frechet_cdf_data,128,11251,19593,62186
frechet_cdf_data,256,22442,39108,31157
frechet_cdf_data,512,44803,77617,15625
frechet_cdf_data,1024,88737,153665,7886
frechet_lcdf_data,2,230,477,3036994
frechet_lcdf_data,4,381,768,1827935
frechet_lcdf_data,8,659,1294,1061779
frechet_lcdf_data,16,1233,2389,569426
frechet_lcdf_data,32,2363,4542,296119
frechet_lcdf_data,64,4630,8861,151409
frechet_lcdf_data,128,9195,17521,76207
frechet_lcdf_data,256,18412,34974,37997
frechet_lcdf_data,512,36448,69163,19201
frechet_lcdf_data,1024,72343,137142,9664
frechet_lccdf_data,2,332,576,2146992
frechet_lccdf_data,4,561,945,1238659
frechet_lccdf_data,8,1007,1644,695226
frechet_lccdf_data,16,1917,3069,365291
frechet_lccdf_data,32,3741,5915,186716
frechet_lccdf_data,64,7386,11613,94856
frechet_lccdf_data,128,14748,23082,47570
frechet_lccdf_data,256,29457,46131,23724
frechet_lccdf_data,512,58624,91460,11940
frechet_lccdf_data,1024,116665,181514,5998
ordered_cotrain,2,161,232,4336734
